y_U1,y_U2,y_U3,y_U4,y_U5,y_U6,y_U7,y_U8,y_L1,y_L2,y_L3,y_L4,y_L5,y_L6,y_L7,y_L8,alpha,Mach,Cl,Cm
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,10.5,0.65,0.600575,0.268927
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,11,0.65,0.608369,0.270077
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,11.5,0.65,0.613633,0.270369
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,12,0.65,0.619695,0.271645
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,12.5,0.65,0.621148,0.270315
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,13,0.65,0.621095,0.268289
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,13.5,0.65,0.617362,0.263613
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,14,0.65,0.613422,0.258858
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,14.5,0.65,0.607351,0.251937
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,-2,0.7,-0.16452,-0.080989
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,-1.5,0.7,-0.120589,-0.059463
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,-1,0.7,-0.077127,-0.039287
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,-0.5,0.7,-0.03479,-0.019446
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,0,0.7,0.007048,-0.000091
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,0.5,0.7,0.048382,0.018992
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,1,0.7,0.089532,0.038614
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,1.5,0.7,0.130919,0.058939
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,2,0.7,0.173118,0.08035
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,2.5,0.7,0.215124,0.101399
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,3,0.7,0.256826,0.120865
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,3.5,0.7,0.297498,0.138942
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,4,0.7,0.337855,0.155195
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,4.5,0.7,0.376731,0.169835
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,5,0.7,0.413863,0.182776
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,5.5,0.7,0.448493,0.193929
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,6,0.7,0.480829,0.203635
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,6.5,0.7,0.510361,0.212284
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,7,0.7,0.538565,0.220202
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,7.5,0.7,0.56438,0.227274
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,8,0.7,0.588826,0.2337
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,8.5,0.7,0.610175,0.23968
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,9,0.7,0.629504,0.245436
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,9.5,0.7,0.646301,0.250491
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,10,0.7,0.660705,0.255357
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,10.5,0.7,0.672702,0.259724
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,11,0.7,0.681938,0.263726
